Time_Elapsed,Temperature,RMS_Current,PWM,Live_Damping,Health_Score,Status
199.14,60,150,255,0.9700,58.9,Healthy
200.14,60,150,255,0.9700,58.8,Healthy
201.13,60,151,255,0.9700,58.6,Healthy
202.13,60,151,255,0.9700,58.5,Healthy
203.15,60,150,255,0.9700,58.4,Healthy
204.11,61,151,128,0.9695,58.2,Warning_Throttled
205.14,62,130,128,0.9690,57.8,Warning_Throttled
206.13,62,66,128,0.9690,57.4,Warning_Throttled
207.14,62,66,128,0.9690,57.0,Warning_Throttled
208.12,64,67,128,0.9680,56.5,Warning_Throttled
209.11,64,74,128,0.9680,56.0,Warning_Throttled
210.12,64,75,128,0.9680,55.6,Warning_Throttled
211.10,64,75,128,0.9680,55.3,Warning_Throttled
212.11,65,74,128,0.9675,54.9,Warning_Throttled
213.10,66,199,128,0.9670,54.5,Warning_Throttled
214.10,68,24,128,0.9660,53.5,Warning_Throttled
215.13,68,140,128,0.9660,53.0,Warning_Throttled
216.14,68,140,128,0.9660,52.7,Warning_Throttled
217.13,68,141,128,0.9660,52.3,Warning_Throttled
218.09,68,140,128,0.9660,52.1,Warning_Throttled
219.10,68,140,128,0.9660,51.8,Warning_Throttled
220.13,71,141,128,0.9645,51.2,Warning_Throttled
221.10,71,250,128,0.9645,50.8,Warning_Throttled
222.11,71,250,128,0.9645,50.4,Warning_Throttled
223.10,71,250,128,0.9645,50.1,Warning_Throttled
224.10,71,250,128,0.9645,49.9,Warning_Throttled
225.10,71,250,128,0.9645,49.6,Warning_Throttled
226.14,72,250,128,0.9640,49.3,Warning_Throttled
227.14,74,232,128,0.9630,48.8,Warning_Throttled
228.13,75,193,128,0.9625,48.2,Warning_Throttled
229.12,75,176,128,0.9625,47.7,Warning_Throttled
230.10,75,176,128,0.9625,47.3,Warning_Throttled
231.13,76,176,128,0.9620,46.9,Warning_Throttled
232.12,78,154,128,0.9610,46.2,Warning_Throttled
233.13,79,113,128,0.9605,45.5,Warning_Throttled
234.10,80,93,128,0.9600,44.8,Warning_Throttled
235.13,80,73,128,0.9600,44.2,Warning_Throttled
236.10,80,73,128,0.9600,43.6,Warning_Throttled
237.10,81,73,128,0.9595,43.0,Warning_Throttled
238.13,83,50,128,0.9585,42.2,Warning_Throttled
239.14,83,6,128,0.9585,39.3,Warning_Throttled
240.14,84,6,128,0.9580,36.7,Warning_Throttled
241.13,84,242,128,0.9580,37.0,Warning_Throttled
242.12,84,242,128,0.9580,37.2,Warning_Throttled
243.10,84,242,128,0.9580,37.4,Warning_Throttled
244.13,84,242,128,0.9580,37.6,Warning_Throttled
245.15,84,242,128,0.9580,37.8,Warning_Throttled
246.14,86,0,0,0.9570,0.0,CRITICAL_ESTOP
247.10,86,0,0,0.9570,0.0,CRITICAL_ESTOP
248.11,86,0,0,0.9570,0.0,CRITICAL_ESTOP
249.10,86,0,0,0.9570,0.0,CRITICAL_ESTOP
250.11,86,0,0,0.9570,0.0,CRITICAL_ESTOP
251.10,86,0,0,0.9570,0.0,CRITICAL_ESTOP
252.10,86,0,0,0.9570,0.0,CRITICAL_ESTOP
253.10,86,0,0,0.9570,0.0,CRITICAL_ESTOP
254.19,86,0,0,0.9570,0.0,CRITICAL_ESTOP
255.21,86,0,0,0.9570,0.0,CRITICAL_ESTOP
256.20,86,0,0,0.9570,0.0,CRITICAL_ESTOP
257.16,86,0,0,0.9570,0.0,CRITICAL_ESTOP
258.16,86,0,0,0.9570,0.0,CRITICAL_ESTOP
